PRICE/TIER DIFFERENCES (matched products, drs NOT overwritten)
======================================================================
$  XEOMIN® 100u  | peak $409 vs drs $349 ("XEOMIN® 100U")
$  DYSPORT® 300u  | peak $439 vs drs $359 ("DYSPORT® 300U")
$  BOTOX® 100u (Non-English)  | peak $419 vs drs $379 ("BOTOX® 100 Units")
$  AZZALURE®  | peak $159 vs drs $239 ("AZZALURE®")
$  STYLAGE® XXL BI-SOFT®  | peak $229 vs drs $159 ("STYLAGE® XXL")
$  STYLAGE® HYDRO BI-SOFT®  | peak $69 vs drs $49 ("STYLAGE® HYDRO")
$  STYLAGE® HYDROMAX BI-SOFT®  | peak $99 vs drs $59 ("STYLAGE® HYDROMAX")
$  STYLAGE® L BI-SOFT®  | peak $179 vs drs $139 ("STYLAGE® L")
$  STYLAGE® XL BI-SOFT®  | peak $229 vs drs $169 ("STYLAGE® XL")
$  STYLAGE® XL BI-SOFT® with Lidocaine  | peak $239 vs drs $169 ("STYLAGE® XL with Lidocaine")
$  STYLAGE® L BI-SOFT® with Lidocaine  | peak $189 vs drs $145 ("STYLAGE® L with Lidocaine")
$  STYLAGE® M BI-SOFT® with Lidocaine  | peak $169 vs drs $159 ("STYLAGE® M with Lidocaine")
$  STYLAGE® S BI-SOFT® with Lidocaine  | peak $149 vs drs $119 ("STYLAGE® S with Lidocaine")
$  STYLAGE® SPECIAL LIPS BI-SOFT® with Lidocaine  | peak $109 vs drs $159 ("STYLAGE® SPECIAL LIPS with Lidocaine")
$  STYLAGE® SPECIAL LIPS BI-SOFT®  | peak $109 vs drs $89 ("STYLAGE® SPECIAL LIPS")
$  STYLAGE® S BI-SOFT®  | peak $149 vs drs $119 ("STYLAGE® S")
$  NEXPLANON® (Non-English)  | peak $249 vs drs $255 ("NEXPLANON®")
$  FR-ANTIOX MD ANTI-POLLUTION CONCENTRATE SERUM 30ml  | peak $59 vs drs $60 ("FR-ANTIOX MD ANTI-POLLUTION Concentrate SERUM MEDIDERMA 30ml")
$  FR-ANTIOX MD ANTI-POLLUTION PROTECT FACIAL CREAM GEL 50ml  | peak $59 vs drs $60 ("FR-ANTIOX MD ANTI-POLLUTION Protect FACIAL CREAM GEL MEDIDERMA 50ml")
$  FR-ANTIOX MD ANTI-POLLUTION MOISTURIZING FACIAL CREAM 50ml  | peak $59 vs drs $45 ("FR-ANTIOX MD ANTI-POLLUTION Moisturizing FACIAL CREAM MEDIDERMA 50ml")
$  RESTYLANE® EYELIGHT™  | peak $169 vs drs $89 ("RESTYLANE® EYELIGHT™")
$  RESTYLANE® LYFT  | peak $199 vs drs $175 ("Restylane Lyft")
$  REVOLAX™ SUB-Q  | peak $59 vs drs $65 ("Revolax™ Sub-Q")
$  SAYPHA® VOLUME  | peak $79 vs drs $69 ("SAYPHA® VOLUME")
$  VISCODERM® SKINKÒ E + VISCODERM® SKINKÒ KIT  | peak $349 vs drs $331 ("Viscoderm Skinkò E + Viscoderm Skinkò Kit")
